0	773
1	154
2	146
3	137
4	145
5	68
6	128
7	58
8	125
9	57
10	87
11	57
12	58
13	57
14	82
15	126
16	57
17	127
18	58
19	90
20	56
21	87
22	55
23	58
24	56
25	58
26	55
27	55
28	76
29	57
30	124
31	102
32	54
33	96
34	73
35	55
36	84
37	56
38	55
39	56
40	57
41	56
42	73
43	57
44	82
45	55
46	82
47	58
48	55
49	59
50	55
51	55
52	56
53	57
54	56
55	57
56	55
57	54
58	83
59	57
60	54
61	57
62	53
63	56
64	54
65	54
66	69
67	51
68	50
69	51
70	51
71	52
72	50
73	52
74	50
75	52
76	68
77	53
78	52
79	51
80	50
81	51
82	52
83	50
84	67
85	51
86	51
87	48
88	51
89	50
90	49
91	50
92	52
93	49
94	49
95	93
96	53
97	50
98	52
99	51
100	53
101	53
102	51
103	51
104	51
105	51
106	51
107	53
108	50
109	51
110	51
111	51
112	50
113	51
114	80
115	52
116	51
117	51
118	51
119	50
120	51
121	52
122	51
123	54
124	51
125	51
126	53
127	51
128	51
129	51
130	50
131	51
132	50
133	64
134	53
135	53
136	51
137	51
138	51
139	53
140	52
141	51
142	53
143	51
144	51
145	53
146	52
147	51
148	51
149	51
150	52
151	52
152	115
153	52
154	54
155	52
156	50
157	52
158	51
159	52
160	50
161	50
162	50
163	55
164	50
165	51
166	54
167	51
168	51
169	52
170	60
171	52
172	52
173	50
174	50
175	53
176	51
177	51
178	52
179	51
180	52
181	52
182	52
183	53
184	50
185	52
186	51
187	52
188	51
189	61
190	51
191	53
192	52
193	52
194	52
195	53
196	50
197	50
198	52
199	51
200	51
201	50
202	53
203	52
204	55
205	51
206	51
207	53
208	134
209	55
210	52
211	50
212	52
213	50
214	51
215	51
216	52
217	49
218	52
219	51
220	52
221	52
222	52
223	51
224	52
225	52
226	60
227	51
228	55
229	50
230	51
231	51
232	52
233	50
234	53
235	51
236	51
237	52
238	53
239	51
240	49
241	53
242	51
243	53
244	51
245	60
246	53
247	50
248	52
249	51
250	50
251	51
252	50
253	52
254	52
255	50
256	52
257	50
258	51
259	52
260	51
261	52
262	52
263	54
264	89
265	53
266	51
267	54
268	51
269	50
270	50
271	52
272	50
273	50
274	50
275	53
276	52
277	50
278	50
279	51
280	50
281	52
282	50
283	61
284	52
285	49
286	51
287	51
288	52
289	51
290	50
291	52
292	51
293	52
294	51
295	50
296	50
297	51
298	51
299	52
300	50
301	52
302	64
303	53
304	53
305	51
306	52
307	52
308	53
309	51
310	51
311	51
312	53
313	51
314	53
315	53
316	50
317	50
318	52
319	51
320	50
321	135
322	54
323	53
324	51
325	52
326	51
327	51
328	52
329	49
330	53
331	50
332	51
333	52
334	50
335	53
336	51
337	51
338	50
339	63
340	53
341	52
342	51
